Squadra,Pick,Ruolo,Calciatore,Punteggio
Cyberducks,3,M C,Amondarain,13
Cyberducks,2,M C,Romano,26
Cyberducks,1,W T,Alajbegovic,42
Al-Colizzati,3,C T,Lahdo,1
Al-Colizzati,2,Pc,Varela G.,100
Al-Colizzati,1,T,Mora,37
Zero Dayz,2,E,Lulli,10
Zero Dayz,3,T A,Fernandez T.,24
Zero Dayz,1,W T,Cissè A.,6
Pontos,3,M C,Comotto,18
Pontos,2,Dc Ds,Valdepenas,1
Pontos,1,W T,Mastantuono,50
Sborada,3,Dd Ds E,Britschgi,12
Sborada,2,A,Ekhator,21
Sborada,1,Dd Ds E,Jimenez A.,10
AC Ciaccati,2,Dc Ds,Viery,14
AC Ciaccati,3,A,Robinho Junior,23
AC Ciaccati,1,E,Cacciamani,3
Diablitos FC,3,W T,Przyborek,17
Diablitos FC,2,Dc Ds,Rodriguez Ju.,23
Diablitos FC,1,M C,Oulai,5
Diaolo Porco,3,Por,Pessina Mas.,1
Diaolo Porco,2,A,Lontani,14
Diaolo Porco,1,C T,Bakola,11
FC Sovescio,3,Por,Mascardi,5
FC Sovescio,2,M C,Amorim,13
FC Sovescio,1,W A,Njie,28
Metodo Monchi,3,W T,Jovanovic,9
Metodo Monchi,2,Pc,Mendy P.,5
Metodo Monchi,1,M C,Stankovic A.,10
